 (4.019485414028167725e-01+1.862645149230957031e-09j)  (-1.665665805339813232e-01-3.568544387817382812e-01j)  (-1.665665805339813232e-01+3.568544387817382812e-01j)  (5.980541706085205078e-01+0.000000000000000000e+00j)
 (5.206659436225891113e-01+1.676380634307861328e-08j)  (1.170778274536132812e-02-9.191974997520446777e-03j)  (1.170778274536132812e-02+9.191967546939849854e-03j)  (4.793352186679840088e-01+0.000000000000000000e+00j)
 (5.077853798866271973e-01+0.000000000000000000e+00j)  (-4.198883473873138428e-02-7.950273156166076660e-02j)  (-4.198886454105377197e-02+7.950273156166076660e-02j)  (4.922157526016235352e-01+7.450580596923828125e-09j)
 (7.545713782310485840e-01+0.000000000000000000e+00j)  (-1.773684471845626831e-01+2.127522826194763184e-01j)  (-1.773684471845626831e-01-2.127522826194763184e-01j)  (2.454293966293334961e-01+0.000000000000000000e+00j)
 (2.403813749551773071e-01-9.313225746154785156e-10j)  (-1.460678726434707642e-01+2.168024703860282898e-02j)  (-1.460678577423095703e-01-2.168023958802223206e-02j)  (7.596198916435241699e-01+0.000000000000000000e+00j)
 (7.626906037330627441e-01+7.450580596923828125e-09j)  (7.188190519809722900e-02+6.195756793022155762e-02j)  (7.188190519809722900e-02-6.195756420493125916e-02j)  (2.373116910457611084e-01+0.000000000000000000e+00j)
 (4.803695678710937500e-01+0.000000000000000000e+00j)  (1.093119233846664429e-01+1.137101128697395325e-01j)  (1.093119382858276367e-01-1.137101128697395325e-01j)  (5.196323990821838379e-01+0.000000000000000000e+00j)
 (3.540567159652709961e-01+0.000000000000000000e+00j)  (-5.661262571811676025e-02-6.472560763359069824e-02j)  (-5.661264434456825256e-02+6.472562998533248901e-02j)  (6.459441184997558594e-01-1.490116119384765625e-08j)
 (2.445455193519592285e-01+0.000000000000000000e+00j)  (2.913325726985931396e-01+2.562220990657806396e-01j)  (2.913325726985931396e-01-2.562220990657806396e-01j)  (7.554536461830139160e-01+0.000000000000000000e+00j)
 (1.975260525941848755e-01+0.000000000000000000e+00j)  (-2.601234614849090576e-01+2.383385896682739258e-01j)  (-2.601234614849090576e-01-2.383385896682739258e-01j)  (8.024765849113464355e-01-2.328306436538696289e-10j)
